study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,r_c_mean,r_c_std,r_e_mean,r_e_std,abs_u_mean,abs_u_std,abs_M_mean,abs_M_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,w_h2_error_mean,w_h2_error_std,M_hdivdiv_error_mean,M_hdivdiv_error_std,coefficient_ball_active_mean,coefficient_ball_active_std,coefficient_norm_mean,coefficient_norm_std
k,plate,Kratio-1,ball,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,441,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",1.0,0.0,2048.0,0.0,2.6320206740980204e-15,9.418287949137897e-16,0.0,0.0,0.0007956960465198197,5.6508628024111484e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.0001154122798035462,9.037304649027219e-06,0.0007894887653259939,5.670058104031683e-05,2.3543300574875926e-07,1.2501775380331373e-07,5.374150004613988e-06,8.723482772101986e-07,0.8057036945072469,0.04686534317930703,1315.6,5.18973345494095,1604.0,0.0,98245702385788.34,1132973843287.2915,0.00010131573576857922,5.652215680618769e-06,0.000789507457845034,5.670108038310086e-05,1.0,0.0,2496.880847534829,5.2229695740789e-06
k,plate,Kratio-1,ridge,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,441,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",1.0,0.0,2048.0,0.0,2.6320206740980204e-15,9.418287949137897e-16,0.0,0.0,0.0007957804651210841,5.4754301509239835e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00010073679633205168,7.014194236344737e-06,0.0007907376262503705,5.474562471186357e-05,2.2822391777746114e-07,1.1175057775526474e-07,3.6482832744362554e-06,7.120609415235457e-07,0.446255515809753,0.018665872052333873,1027.1,3.784471194529326,1604.0,0.0,989869348580.8297,9365408336.864712,9.496318686671396e-05,5.039592843581426e-06,0.0007907463624921304,5.4745118043882264e-05,1.0,0.0,5037.429593905547,263.7400120677989
k,plate,Kratio-1,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,441,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",1.0,0.0,2048.0,0.0,2.6320206740980204e-15,9.418287949137897e-16,0.0,0.0,0.0008066290448301265,4.537294437396437e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00010494783957552581,8.249514630711454e-06,0.000801278962288113,4.517692811367838e-05,2.3503506503254016e-07,1.2137849115365585e-07,3.797295060327932e-06,6.490854155486256e-07,0.45039490740455224,0.019951544664407024,1027.1,3.784471194529326,1604.0,0.0,989869348580.8297,9365408336.864712,9.859758796268213e-05,6.769688526679403e-06,0.0008012881856115201,4.5177144981201027e-05,0.0,0.0,5067.213839634561,409.61779016698017
k,plate,Kratio-2,ball,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0007971906229214566,5.605257244356744e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.0001258133715931285,7.18585045127967e-06,0.0007894650980668636,5.661658726292906e-05,2.4526789915092457e-07,1.2655237086390338e-07,5.57493425175182e-06,9.241315557006698e-07,0.7758529230952262,0.025138631808498894,1323.4,4.7422451316743315,1604.0,0.0,98006193725461.2,1516072084395.2898,0.00011260169620404194,4.496545694467966e-06,0.0007894852423028323,5.661699704409467e-05,1.0,0.0,2496.880849775199,5.376074740667273e-06
k,plate,Kratio-2,ridge,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0007978013231034206,5.4511362088036184e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00011756793693763965,9.0545074004212e-06,0.0007907429392906365,5.477645440054695e-05,2.424123153314787e-07,1.1426190790928197e-07,4.241712569473331e-06,8.976864182003154e-07,0.4316097656963393,0.026644712612889233,1031.5,3.4721111093332766,1604.0,0.0,991860284574.3984,7889976708.923208,0.00011050716668138086,7.144959852466984e-06,0.0007907547587776805,5.477670684809644e-05,1.0,0.0,5005.457625280002,270.9588102607284
k,plate,Kratio-2,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,841,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",2.0,0.0,3364.0,0.0,3.636145263334217e-15,1.352180246036575e-15,0.0,0.0,0.0008081830202270657,4.5287285837728265e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00011940161980374441,9.62650223901831e-06,0.0008010906613367842,4.526483491257713e-05,2.4471939029606284e-07,1.1697211200965408e-07,4.315012159826777e-06,8.968419078445022e-07,0.4346808168978896,0.02635895121898777,1031.5,3.4721111093332766,1604.0,0.0,991860284574.3984,7889976708.923208,0.00011199572978214776,7.577449561629812e-06,0.0008011026825460084,4.526585263257789e-05,0.0,0.0,5047.240991509447,398.00649673591715
k,plate,Kratio-4,ball,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,1681,0.3,10,"[100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0, 100000.0]",4.0,0.0,6724.0,0.0,3.688978406063428e-15,5.055582615785127e-16,0.0,0.0,0.0007977942719298445,5.623592632248077e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00012957925448521364,7.287013469659028e-06,0.0007894898066730126,5.665534112966009e-05,2.217278296914596e-07,1.21148996240848e-07,5.695277917494404e-06,1.0378381678002406e-06,0.7939782881003339,0.028515619754304847,1325.2,5.0508525133002165,1604.0,0.0,99028899867776.19,1031024233042.1873,0.0001164056371661734,3.7759597785049565e-06,0.0007895109637296079,5.665532719697506e-05,1.0,0.0,2496.8808467434515,4.5728543661070045e-06
k,plate,Kratio-4,ridge,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,1681,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",4.0,0.0,6724.0,0.0,3.688978406063428e-15,5.055582615785127e-16,0.0,0.0,0.0007982433357358696,5.456745550914606e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.0001204963994455712,7.691921040749741e-06,0.0007907485281829129,5.475540728201864e-05,2.1147099006804366e-07,9.956492914442228e-08,4.3534293256113165e-06,1.092121532435144e-06,0.44636964780802374,0.031312698988153954,1031.7,3.653004851412662,1604.0,0.0,989367947136.2117,6314984119.68962,0.00011326131160529255,4.9994645257661634e-06,0.0007907612340690885,5.475471044499281e-05,1.0,0.0,5001.848734057723,270.1457914873383
k,plate,Kratio-4,tsvd,direct,streaming_tsqr,1e-14,trig,7,7,400,1604,1681,0.3,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",4.0,0.0,6724.0,0.0,3.688978406063428e-15,5.055582615785127e-16,0.0,0.0,0.0008084669131015701,4.516609617003516e-05,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,0.00012087637932936715,6.849732917811505e-06,0.0008010628412373764,4.530628454828523e-05,2.109952227822926e-07,9.694182670044856e-08,4.333050567007273e-06,9.332806299928165e-07,0.4493411367060617,0.03109897998863657,1031.7,3.653004851412662,1604.0,0.0,989367947136.2117,6314984119.68962,0.00011377458278935512,4.916076889137726e-06,0.0008010750715516759,4.530585032207425e-05,0.0,0.0,5046.003422260399,397.1857861560608
