study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,trace_residual_mean,trace_residual_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
power,elasticity-2d,k-3,ball,direct,streaming_tsqr,1e-14,hu_zhang,3,10,500,8016,1024,0.3333333333333333,10,"[10000.0, 10000.0, 30000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.060788328665553e-14,7.338392269629186e-15,0.0,0.0,0.0021505426308559344,1.1495994732992968e-05,0.1234840922707953,0.0,0.04557728157814494,0.0,6.022643887964577e-06,3.6726736779397137e-07,8.098358765706774e-05,6.587197528727407e-06,5.052191558799677,0.2144408177514366,2503.5,1.5811388300841898,2504.0,0.0,20367462844705.105,18904943537386.305,0.00038160559522245653,1.7287506458539216e-05,0.002105113773205773,9.485919883944377e-06,0.0003254783081941242,1.716963041489319e-05,0.0021035465576722512,9.396732904155604e-06,1.0,0.0,8.748557434046233e-15,7.501617771258262e-15,-4.3888367939892705e-11,1.6449766101903548e-10,5.631345606597913e-05,5.7649511120826e-06,5.8159801300342475e-05,3.903631839096351e-06,2.2836308025822403,0.0,15.004035497307717,1.8724445165742407e-15,0.00016710476789459655,7.57018447946629e-06,0.00014030317200885777,6.322245695597359e-07,239.8082300932653,126.39003479148178
power,elasticity-2d,k-5,ball,direct,streaming_tsqr,1e-14,hu_zhang,5,10,500,8016,1024,0.3333333333333333,10,"[30000.0, 30000.0, 30000.0, 10000.0, 30000.0, 10000.0, 10000.0, 30000.0, 30000.0, 30000.0]",2.0,0.0,12808.0,0.0,3.989020094623734e-14,9.51984086150691e-15,0.0,0.0,8.920205602766216e-06,7.076545825392074e-08,0.1269188322421399,2.925694557147251e-17,0.027690579722532433,0.0,3.091372696307943e-08,1.6336655091920115e-09,4.68121100206099e-07,3.7034611605779434e-08,4.898408453001321,0.2646873917445371,2374.3,2.4517567397911058,2504.0,0.0,95958871911482.67,3026050494368.5786,2.09115977062957e-06,7.692993289492596e-08,8.686765705255824e-06,7.336221312744819e-08,1.7885830548147776e-06,6.174199675877637e-08,8.674073060202821e-06,7.323483147129681e-08,1.0,0.0,3.410605131648481e-14,2.3398814685963446e-14,3.219646771412954e-15,4.077055354257797e-14,3.301621360424344e-07,2.6879417290968922e-08,3.317508277456136e-07,2.6995269477895656e-08,2.2836308025822403,0.0,15.004035497307717,1.8724445165742407e-15,9.157170976433529e-07,3.368755264990149e-08,5.789619537233535e-07,4.8894987712213866e-09,479.61646059598763,193.06396750484467
power,elasticity-2d,k-7,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,10,500,8016,1024,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 3000.0, 10000.0, 3000.0, 10000.0, 3000.0]",2.0,0.0,12808.0,0.0,3.479015148746689e-14,8.44785357277608e-15,0.0,0.0,4.2408659856380485e-08,2.76399753804123e-10,0.12681299279433242,0.0,0.04021741668149736,0.0,2.1272125636092192e-10,7.0437856546658545e-12,3.4799307468706316e-09,2.4791625024075867e-10,4.798950496899488,0.14567214345768129,2070.4,5.253570214625479,2504.0,0.0,99447401024982.14,398581308217.13806,1.4770402353543016e-08,3.4112722871314024e-10,3.990634117921028e-08,2.557485095416892e-10,1.2462185426384655e-08,3.3247191714926927e-10,3.9753611988217595e-08,2.5826891338762243e-10,0.3,0.48304589153964794,5.968558980384842e-14,7.309348053651682e-14,-1.3977707880030721e-14,5.0012117827298604e-14,2.5454067949972137e-09,2.371607724525662e-10,2.370804364298416e-09,1.2825507938832856e-10,2.2836308025822403,0.0,15.004035497307717,1.8724445165742407e-15,6.467946717499704e-09,1.4937932538281014e-10,2.65970719586547e-09,1.704531488129182e-11,150.83574386204845,62.92131535317843
power,elasticity-2d,k-9,ball,direct,streaming_tsqr,1e-14,hu_zhang,9,10,500,8016,1024,0.3333333333333333,10,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",2.0,0.0,12808.0,0.0,3.0343513416727605e-14,6.940451511319364e-15,0.0,0.0,1.4010557485441448e-09,7.209696372384078e-10,0.14900133149398548,0.0,0.0281139084009625,0.0,9.416921465126493e-12,7.430331190691831e-12,3.8588943757986757e-10,5.2284394974859994e-11,4.845576614201855,0.1336146400486507,1266.0,2.8674417556808756,2504.0,0.0,99538247305449.42,459775967527.139,3.13030949325955e-10,9.229861472940591e-11,1.34813077823172e-09,7.515078761266553e-10,3.690718954732921e-10,7.599651799108329e-11,1.268177541974873e-09,7.930945341864532e-10,0.0,0.0,4.9382720135326964e-14,3.7764007662070024e-14,-3.251426905492849e-14,3.835501120603442e-14,2.7499285893968693e-10,3.853385913256824e-11,2.7046464306216923e-10,3.7451926423558367e-11,2.2836308025822403,0.0,15.004035497307717,1.8724445165742407e-15,1.3707598836554137e-10,4.04174854468762e-11,8.985121226043652e-11,5.0087049998082435e-11,14.289616684493222,0.059731936962347854
