model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
plate,default,2,2,7,250,529,7,2.0,8.5,4.25,3.25,2.500071664828261e-10,7.308128584884513e-07,2.0701968814044702e-16,6.035363619583898e-07,6.035363619583898e-07,3.0637040480062772e-15,7.117602061804755e-16,6.479112145189572e-15,7.166950305653937e-15,0.054456243804471643,33.5787849810902,14.706773261015769,4.548716024746369,3.4719777191732883,nan,nan
plate,default,2,2,7,500,1024,7,2.0,8.5,4.25,3.25,1.7463240308342284e-11,9.94268093199509e-08,4.0881507863921055e-16,7.32585043018123e-08,7.32585043018123e-08,2.47336025931015e-15,4.958783773102385e-16,8.288988298566319e-15,8.650135142649745e-15,0.054456243804471643,33.5787849810902,33.47838190296898,4.548716024746369,3.4719777191732883,nan,nan
plate,default,2,2,7,1000,2025,7,2.0,8.5,4.25,3.25,4.564072426395549e-13,5.935636606506441e-09,8.681266617466256e-16,5.296492569939584e-09,5.296492569939584e-09,2.916149837327039e-15,2.4425890672900694e-16,6.280132350727595e-15,6.924160036885183e-15,0.054456243804471643,33.5787849810902,85.64440167002613,4.548716024746369,3.4719777191732883,nan,nan
