model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
elasticity-2d,hu_zhang,2,1,7,1000,2025,3,2.0,8.5,4.25,3.75,3.3685876581909623e-12,3.587327134041511e-10,4.194028684866381e-06,4.481955776856646e-06,4.481955776856646e-06,7.463836787148935e-11,2.3806809422259808e-11,2.1235898892481994e-09,2.1249011515069824e-09,2.2836308025822403,15.004035497307717,124.11400334298378,nan,nan,nan,nan
elasticity-2d,hu_zhang,2,1,7,1000,2025,5,2.0,8.5,4.25,3.75,3.3688441633059898e-12,3.587262534585992e-10,9.345602386549747e-10,1.0266798029092477e-09,1.0266798029092477e-09,7.218101169832598e-11,2.3788566602326645e-11,2.122093688661263e-09,2.123320918256531e-09,2.2836308025822403,15.004035497307717,74.19222245900892,nan,nan,nan,nan
elasticity-2d,hu_zhang,2,1,7,1000,2025,7,2.0,8.5,4.25,3.75,3.3688441633059898e-12,3.587185314800667e-10,1.619873293615057e-13,3.537495815501511e-10,3.537495815501511e-10,1.124941667194855e-10,2.3769570436728764e-11,2.1220214114352166e-09,2.12500113132568e-09,2.2836308025822403,15.004035497307717,73.97795548097929,nan,nan,nan,nan
