model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
elasticity-2d,hu_zhang,2,1,3,200,441,7,2.0,4.5,2.25,1.75,2.6515653470260457e-05,0.001357107941472885,9.568058532677552e-11,0.001261684345742239,0.001261684345742239,0.0002689312963601901,0.00024025622656297617,0.009743836642275561,0.00974754720704208,2.2836308025822403,15.004035497307717,10.104289823997533,1.9548797896542198,1.5515207275016816,2.2576585998027543,1.7640053642819722
elasticity-2d,hu_zhang,2,1,3,400,841,7,2.0,4.5,2.25,1.75,6.944239037769261e-06,0.0004869415371281748,5.465926112269502e-12,0.000455518049908237,0.000455518049908237,5.734659810575689e-05,5.007033556473247e-05,0.0028753329443969716,0.0028759047573674724,2.2836308025822403,15.004035497307717,18.866549143000157,1.9548797896542198,1.5515207275016816,2.2576585998027543,1.7640053642819722
elasticity-2d,hu_zhang,2,1,3,600,1225,7,2.0,4.5,2.25,1.75,3.0004530440974776e-06,0.0002457803262154431,1.1402706711660107e-12,0.00023010992127288018,0.00023010992127288018,2.3762099042480296e-05,2.1120645412391284e-05,0.0014682424815239006,0.0014684347523476712,2.2836308025822403,15.004035497307717,29.779906740004662,1.9548797896542198,1.5515207275016816,2.2576585998027543,1.7640053642819722
elasticity-2d,hu_zhang,2,1,3,800,1681,7,2.0,4.5,2.25,1.75,1.8815616886981936e-06,0.00016591436364221383,3.1671572553704075e-13,0.0001570604053365467,0.0001570604053365467,1.2078814365968444e-05,1.0414300667355585e-05,0.0008319826294688363,0.0008320703056198835,2.2836308025822403,15.004035497307717,40.83199782499287,1.9548797896542198,1.5515207275016816,2.2576585998027543,1.7640053642819722
elasticity-2d,hu_zhang,2,1,3,1000,2025,7,2.0,4.5,2.25,1.75,1.1074466772966326e-06,0.0001105005236029359,1.6201774885814402e-13,0.00010248246219039215,0.00010248246219039215,1.771393012669711e-05,6.3088481458831065e-06,0.0005704604677340502,0.0005707354278191296,2.2836308025822403,15.004035497307717,57.83188446699933,1.9548797896542198,1.5515207275016816,2.2576585998027543,1.7640053642819722
elasticity-2d,hu_zhang,2,1,5,200,441,7,2.0,6.5,3.25,2.75,4.509603068605068e-07,2.055521221917326e-05,9.568058532677552e-11,1.9769041081079907e-05,1.9769041081079907e-05,6.6094296747374375e-06,3.0952813270324053e-06,0.00011437539449851413,0.00011456620543299859,2.2836308025822403,15.004035497307717,9.810707292999723,3.37739887323882,2.8356288377396695,3.4756932966648653,2.9578780411508085
elasticity-2d,hu_zhang,2,1,5,400,841,7,2.0,6.5,3.25,2.75,3.987078313994019e-08,2.5717794879768766e-06,5.465926112269502e-12,2.5018802602917246e-06,2.5018802602917246e-06,3.2412809555900977e-07,2.7650034184417e-07,1.4139648582485022e-05,1.414336314525302e-05,2.2836308025822403,15.004035497307717,22.463997732003918,3.37739887323882,2.8356288377396695,3.4756932966648653,2.9578780411508085
elasticity-2d,hu_zhang,2,1,5,600,1225,7,2.0,6.5,3.25,2.75,9.672580410392524e-09,8.120858024516339e-07,1.1402606788098015e-12,7.698756088696423e-07,7.698756088696423e-07,1.6483359169152421e-07,7.06474526951377e-08,4.520571427259489e-06,4.523575592593189e-06,2.2836308025822403,15.004035497307717,30.27407395800401,3.37739887323882,2.8356288377396695,3.4756932966648653,2.9578780411508085
elasticity-2d,hu_zhang,2,1,5,800,1681,7,2.0,6.5,3.25,2.75,5.367352329499574e-09,5.094164553338354e-07,3.1669951821088395e-13,4.79915308072469e-07,4.79915308072469e-07,4.500292474565318e-08,2.609088203013174e-08,1.9767258655312254e-06,1.977238076382264e-06,2.2836308025822403,15.004035497307717,44.18211827300547,3.37739887323882,2.8356288377396695,3.4756932966648653,2.9578780411508085
elasticity-2d,hu_zhang,2,1,5,1000,2025,7,2.0,6.5,3.25,2.75,1.6565018672285263e-09,1.7998390494244496e-07,1.6201774885814402e-13,1.740341665373729e-07,1.740341665373729e-07,2.732596919199856e-08,1.107884904653838e-08,9.347146953758414e-07,9.351140413574346e-07,2.2836308025822403,15.004035497307717,58.499399441003334,3.37739887323882,2.8356288377396695,3.4756932966648653,2.9578780411508085
elasticity-2d,hu_zhang,2,1,7,200,441,7,2.0,8.5,4.25,3.75,8.249679693769543e-09,3.6480716280478816e-07,9.568058532677552e-11,3.504463723429123e-07,3.504463723429123e-07,7.718191877851773e-08,6.431532473533442e-08,2.2296847297584896e-06,2.2310201798066557e-06,2.2836308025822403,15.004035497307717,9.587624541993137,4.655093818057857,4.071479859555514,4.804598208813907,4.238731002691456
elasticity-2d,hu_zhang,2,1,7,400,841,7,2.0,8.5,4.25,3.75,3.93322059355687e-10,2.431417487756419e-08,5.465926112269502e-12,2.3365102623313825e-08,2.3365102623313825e-08,3.66643907535686e-09,2.05718681693537e-09,1.0898148072779794e-07,1.0904313787266349e-07,2.2836308025822403,15.004035497307717,17.67698627000209,4.655093818057857,4.071479859555514,4.804598208813907,4.238731002691456
elasticity-2d,hu_zhang,2,1,7,600,1225,7,2.0,8.5,4.25,3.75,6.125733387062839e-11,5.980898232932281e-09,1.1402706711660107e-12,4.946769570114865e-09,4.946769570114865e-09,1.1147501715940401e-09,4.0489958511512144e-10,2.6341572341452756e-08,2.636514937118805e-08,2.2836308025822403,15.004035497307717,29.30320182100695,4.655093818057857,4.071479859555514,4.804598208813907,4.238731002691456
elasticity-2d,hu_zhang,2,1,7,800,1681,7,2.0,8.5,4.25,3.75,2.1788189905265863e-11,2.1626890058672196e-09,3.1671572553704075e-13,1.971309704605273e-09,1.971309704605273e-09,2.6933516084851796e-10,9.287069249875714e-11,6.7954317561758555e-09,6.800767175967177e-09,2.2836308025822403,15.004035497307717,46.9709091350087,4.655093818057857,4.071479859555514,4.804598208813907,4.238731002691456
elasticity-2d,hu_zhang,2,1,7,1000,2025,7,2.0,8.5,4.25,3.75,3.3688441633059898e-12,3.587185314800667e-10,1.619873293615057e-13,3.537452054856825e-10,3.537452054856825e-10,1.124941667194855e-10,2.3777155847917068e-11,2.1220214114352166e-09,2.12500113132568e-09,2.2836308025822403,15.004035497307717,57.624246456005494,4.655093818057857,4.071479859555514,4.804598208813907,4.238731002691456
elasticity-2d,hu_zhang,2,1,9,200,441,7,2.0,10.5,5.25,4.75,2.0913185440802232e-10,1.048817416727366e-08,9.568058532677552e-11,9.623243660935747e-09,9.623243660935747e-09,1.8793284111580637e-09,9.384352417158919e-10,3.220449271029772e-08,3.2259281238189494e-08,2.2836308025822403,15.004035497307717,10.082029249009793,6.026949857902255,5.552380245583692,5.5115148234011055,5.114109088477986
elasticity-2d,hu_zhang,2,1,9,400,841,7,2.0,10.5,5.25,4.75,4.173501868355929e-12,2.422912435954632e-10,5.465925912657355e-12,2.3394578411862437e-10,2.3394578411862437e-10,3.010517461797078e-11,1.5331969706350107e-11,8.404634720428077e-10,8.410024788174111e-10,2.2836308025822403,15.004035497307717,18.702991269004997,6.026949857902255,5.552380245583692,5.5115148234011055,5.114109088477986
elasticity-2d,hu_zhang,2,1,9,600,1225,7,2.0,10.5,5.25,4.75,1.1355879488820884e-13,8.963885052387123e-12,1.1402606788098015e-12,3.019062601908523e-11,3.019062601908523e-11,2.1885434480612157e-12,8.894083838964971e-13,5.737524201664657e-11,5.741696716905916e-11,2.2836308025822403,15.004035497307717,32.012256382004125,6.026949857902255,5.552380245583692,5.5115148234011055,5.114109088477986
elasticity-2d,hu_zhang,2,1,9,800,1681,7,2.0,10.5,5.25,4.75,2.1880120016440992e-14,2.040024344724611e-12,3.1671572553704075e-13,3.9706162115463795e-11,3.9706162115463795e-11,4.745913668172264e-13,1.685426418935983e-13,1.2241155340619374e-11,1.2250351874074135e-11,2.2836308025822403,15.004035497307717,44.143681152010686,6.026949857902255,5.552380245583692,5.5115148234011055,5.114109088477986
elasticity-2d,hu_zhang,2,1,9,1000,2025,7,2.0,10.5,5.25,4.75,2.950187919811577e-14,3.0679586026597518e-12,1.619873293615057e-13,5.8077122956538646e-11,5.8077122956538646e-11,2.2391476410718075e-12,2.7201161457554776e-13,1.5975611670858856e-11,1.6131768359872987e-11,2.2836308025822403,15.004035497307717,62.09617217400228,6.026949857902255,5.552380245583692,5.5115148234011055,5.114109088477986
