study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,trace_residual_mean,trace_residual_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
k,elasticity-2d,Kratio-1,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,441,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",1.0,0.0,12808.0,0.0,2.889214994056168e-15,4.943130990007403e-16,0.0,0.0,1.7998068618987032e-07,3.213776439611627e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.816175285804327e-10,1.1734880707667112e-10,2.461168934634663e-08,1.3483340361107577e-08,1.2542987210938008,0.04481713319300243,1624.1,7.950541560869367,2004.0,0.0,98351815362946.83,1679300454270.246,3.520429742524001e-08,9.885347687823948e-09,1.7637842190384952e-07,3.1338739668839813e-08,3.5464644684865604e-08,1.343808672198004e-08,1.744038614055003e-07,2.9947919807677654e-08,1.0,0.0,3.197442310920451e-14,2.9439687179092414e-14,-1.6979039701991994e-14,2.282929532403896e-14,1.811348298830271e-08,1.0143444347478299e-08,1.6577001288642902e-08,9.059060439793406e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.5415932113646555e-08,4.328785404648591e-09,1.175539886822438e-08,2.088687385101372e-09,223.3829035544908,0.022107584562675964
k,elasticity-2d,Kratio-1,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,441,0.3333333333333333,10,"[1e-12, 1e-12, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",1.0,0.0,12808.0,0.0,2.889214994056168e-15,4.943130990007403e-16,0.0,0.0,1.7232124710798232e-07,2.620274291179374e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.256922074266371e-10,5.3919586782114914e-11,2.9571110325776395e-08,1.068094762047936e-08,0.6261945328937145,0.02801784243371297,1342.7,148.62409704426204,2004.0,0.0,20362037743761.375,40832434483092.5,3.283876115487333e-08,6.509806699722317e-09,1.6905793142210854e-07,2.6126060626371436e-08,3.633660706489217e-08,8.551963196010949e-09,1.6614417770951256e-07,2.6116946087769277e-08,1.0,0.0,1.5987211554602254e-14,1.782268192974879e-14,-1.4224819239183616e-14,1.7257562762114028e-14,2.192629797479497e-08,7.943617470410165e-09,1.9795788006179247e-08,7.279974468350216e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.438006577847021e-08,2.850638856491725e-09,1.1267497431104045e-08,1.741268916023254e-09,129.49633300691193,190.61185940738943
k,elasticity-2d,Kratio-1,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,441,0.3333333333333333,10,"[1e-12, 1e-12, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",1.0,0.0,12808.0,0.0,2.889214994056168e-15,4.943130990007403e-16,0.0,0.0,1.7933407337724276e-07,2.8682514341131545e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,7.83052990487549e-10,1.9955672568144322e-10,3.520390860048409e-08,1.42191362866619e-08,0.6321058968052966,0.028157344955068025,1342.7,148.62409704426204,2004.0,0.0,20362037743761.375,40832434483092.5,3.975694886871843e-08,9.5921702585022e-09,1.7476979689580028e-07,2.7709638434715025e-08,4.13370290252083e-08,1.159027028006903e-08,1.7089947646470047e-07,2.5983154227283296e-08,0.0,0.0,1.7053025658242404e-14,1.3992060121137162e-14,-3.953608274098741e-15,1.0393541453741056e-14,2.4956247879826706e-08,9.126191704426859e-09,2.466734254699566e-08,1.1305352700896653e-08,2.2836308025822403,0.0,15.004035497307717,0.0,1.7409534336182022e-08,4.2004032559272494e-09,1.1648186044825105e-08,1.84681237522313e-09,131.35807682130962,192.85261663182462
k,elasticity-2d,Kratio-2,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.7995203606094304e-07,3.064571294627275e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.990315995090195e-10,9.623958529702307e-11,2.3084615743759654e-08,5.0485601525154825e-09,1.2762121253908845,0.05587036813624059,1628.8,8.011103405759894,2004.0,0.0,98835897803109.2,1771782857129.3838,3.7573055030971345e-08,6.807586746394145e-09,1.759542052840731e-07,3.000769434745687e-08,3.636754142014331e-08,6.22106919336398e-09,1.7439164071760412e-07,2.9851761632884775e-08,1.0,0.0,2.7000623958883806e-14,2.134586748894634e-14,-2.1744325090500283e-14,2.4175005738805485e-14,1.7155579965465044e-08,3.7943722708270325e-09,1.5416853075032628e-08,3.4781588622556858e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.6453209068858768e-08,2.9810364874639074e-09,1.1727125366748555e-08,1.9999748969429836e-09,223.3791617986069,0.019683148801371165
k,elasticity-2d,Kratio-2,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.726493844125115e-07,2.627733890692514e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.860290917009458e-10,8.256660490879609e-11,3.0141037457481006e-08,7.703271296018262e-09,0.6428853190009249,0.027420363658768977,1320.5,111.27668219353056,2004.0,0.0,10339153690855.256,29546823479192.984,3.685157264115222e-08,6.016719220581501e-09,1.6863559089704278e-07,2.6052930832122126e-08,3.866623082171808e-08,6.18301529133422e-09,1.6577795582700148e-07,2.5919170825583376e-08,1.0,0.0,1.1013412404281553e-14,1.0651559905155664e-14,-9.339317513790135e-15,1.418320922286882e-14,2.2165195725078414e-08,6.071391166346564e-09,2.0384392541295153e-08,4.932152603452667e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.6137272539625015e-08,2.6347162657720457e-09,1.12393489689692e-08,1.7363949076764707e-09,87.1924404510547,151.5566688353826
k,elasticity-2d,Kratio-2,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,841,0.3333333333333333,10,"[1e-12, 1e-12, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",2.0,0.0,12808.0,0.0,4.519266716566349e-15,5.178750061387334e-16,0.0,0.0,1.7934964899423605e-07,2.8280655781245582e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,7.827025883160814e-10,1.3393527368879734e-10,3.2217916142157014e-08,8.03091076561209e-09,0.6518144962872612,0.025642084196927026,1354.3,144.88006534141726,2004.0,0.0,20202428695444.71,40510483800003.41,4.238065929695793e-08,7.859611020263894e-09,1.742460544132762e-07,2.743980777122188e-08,4.2435907756526336e-08,7.945669855671667e-09,1.7118497127297808e-07,2.6645861443045236e-08,0.0,0.0,2.0250467969162856e-14,1.632788796752432e-14,-5.0660864392426676e-15,1.5941549237324043e-14,2.3132018759291882e-08,5.92269001489192e-09,2.2338748724955288e-08,5.8080095756339255e-09,2.2836308025822403,0.0,15.004035497307717,0.0,1.8558454917071335e-08,3.4417170285917293e-09,1.1613279270403115e-08,1.8288285025815622e-09,130.9442084492986,192.7387633542381
k,elasticity-2d,Kratio-4,ball,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,1681,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",4.0,0.0,12808.0,0.0,6.6781663133966285e-15,7.964806860232068e-16,0.0,0.0,1.8322772878641175e-07,3.2115456930749786e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,7.783560977270483e-10,1.1400811906306304e-10,2.814297344211084e-08,1.0489991542741546e-08,1.222155127004953,0.03995374449140454,1629.9,8.698020208964541,2004.0,0.0,99156625684041.1,1280881264593.7656,4.726952056740986e-08,1.1955175357939378e-08,1.7686372511415037e-07,3.0337767901216763e-08,4.563802838406579e-08,1.1459706949260917e-08,1.7440516776458147e-07,2.983089336192999e-08,1.0,0.0,1.8829382497642654e-14,1.3992060121137162e-14,-2.365408216520315e-14,1.5099121901756415e-14,2.0535644783542923e-08,7.562856041654715e-09,1.9207770718323695e-08,7.373722825291754e-09,2.2836308025822403,0.0,15.004035497307717,0.0,2.0699283138920414e-08,5.235161193491055e-09,1.1787743713741967e-08,2.0219738820706255e-09,223.39177537647333,0.028229031624547776
k,elasticity-2d,Kratio-4,ridge,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,1681,0.3333333333333333,10,"[1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12]",4.0,0.0,12808.0,0.0,6.6781663133966285e-15,7.964806860232068e-16,0.0,0.0,1.767274030567997e-07,2.7826651500235592e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,7.362514002377349e-10,9.509337802243014e-11,3.294617149584538e-08,7.770313484453936e-09,0.6229214265011251,0.020433827621346757,1287.5,3.92286743197994,2004.0,0.0,994045818555.5742,4276492204.553845,4.9342582236505065e-08,1.0658166140814212e-08,1.6963360962598652e-07,2.6219187295400905e-08,4.9098916045807285e-08,1.0054467309853683e-08,1.6633419170383572e-07,2.5547541269947922e-08,1.0,0.0,1.1723955140041652e-14,8.869933912608495e-15,-6.193309753932396e-15,1.441622213370134e-14,2.4326256884413505e-08,6.039406562461266e-09,2.2188977274914145e-08,5.0382686332278425e-09,2.2836308025822403,0.0,15.004035497307717,0.0,2.160707509318512e-08,4.667201952593376e-09,1.1305865655704768e-08,1.7474756907970264e-09,39.222978218557415,0.34630476741793453
k,elasticity-2d,Kratio-4,tsvd,direct,streaming_tsqr,1e-14,hu_zhang,7,7,400,1604,1681,0.3333333333333333,10,"[1e-12, 1e-12, 1e-14, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-14]",4.0,0.0,12808.0,0.0,6.6781663133966285e-15,7.964806860232068e-16,0.0,0.0,1.8514050799213095e-07,3.376493338873632e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,8.842712353601627e-10,1.929458718365345e-10,3.869077170599764e-08,1.5294378210331644e-08,0.6293193148070714,0.020164626713562932,1355.9,144.29171840407196,2004.0,0.0,20680819382125.656,41503282309605.55,5.73217209930296e-08,2.2196898930795546e-08,1.7561618778467437e-07,2.8169310693873097e-08,5.615215844706548e-08,2.0931134175140884e-08,1.7101208340077709e-07,2.5875122798562153e-08,0.0,0.0,2.1316282072803006e-14,1.1723357024838853e-14,-1.1341795558283963e-14,1.4063849410086685e-14,2.7832775393113023e-08,1.0969912513133153e-08,2.680109505125437e-08,1.0864562937528387e-08,2.2836308025822403,0.0,15.004035497307717,0.0,2.5101133216548162e-08,9.720003297247596e-09,1.1704596927685653e-08,1.877448950245934e-09,130.71469544809923,191.80508067204633
