study,model,configuration,algorithm,system_backend,direct_solver,direct_rcond,manufactured_solution,activation_power,ritz_degree,N,Q,K,nu,repeats,hyperparameters,ritz_ratio_mean,ritz_ratio_std,projection_samples_mean,projection_samples_std,projection_gram_residual_mean,projection_gram_residual_std,boundary_residual_mean,boundary_residual_std,validation_score_mean,validation_score_std,parameter_covering_radius_mean,parameter_covering_radius_std,parameter_separation_mean,parameter_separation_std,u_l2_error_mean,u_l2_error_std,sigma_l2_error_mean,sigma_l2_error_std,wall_time_mean,wall_time_std,rank_mean,rank_std,columns_mean,columns_std,condition_estimate_mean,condition_estimate_std,u_h1_error_mean,u_h1_error_std,sigma_hdiv_error_mean,sigma_hdiv_error_std,constitutive_residual_mean,constitutive_residual_std,equilibrium_residual_mean,equilibrium_residual_std,coefficient_ball_active_mean,coefficient_ball_active_std,continuous_trace_mean_mean,continuous_trace_mean_std,sigma_deviatoric_l2_error_mean,sigma_deviatoric_l2_error_std,sigma_hydrostatic_l2_error_mean,sigma_hydrostatic_l2_error_std,u_h1_exact_norm_mean,u_h1_exact_norm_std,sigma_hdiv_exact_norm_mean,sigma_hdiv_exact_norm_std,relative_u_h1_error_mean,relative_u_h1_error_std,relative_sigma_hdiv_error_mean,relative_sigma_hdiv_error_std,coefficient_norm_mean,coefficient_norm_std
order,plane-stress,N-200,ball,direct,streaming_tsqr,1e-14,default,7,7,200,804,441,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,2.866294744906997e-15,3.8184840803615797e-16,0.0,0.0,2.8946057301574563e-06,5.280544075171411e-07,0.2462568903574736,5.851389114294502e-17,0.05114860741649987,0.0,1.6165117566302823e-08,4.280484879048967e-09,5.597283806085827e-07,2.6122023684750386e-07,0.11821673970116535,0.009695121604966429,891.6,7.805980613179443,1005.0,0.0,96675109692797.84,3592528176287.816,6.415693574134268e-07,1.350571036265479e-07,2.8187618226556393e-06,5.334236604966855e-07,7.283887557038367e-07,1.852572638050524e-07,2.755251230744354e-06,5.114112487128922e-07,1.0,0.0,7.744154933292391e-09,5.09548673613324e-08,4.0337140457887375e-07,1.8131945248543777e-07,3.8626884752030034e-07,1.9208530779102177e-07,2.2836308025822403,0.0,11.476061856285487,1.8724445165742407e-15,2.8094267982721423e-07,5.9141391626803516e-08,2.456210029150193e-07,4.648142081985443e-08,315.4399269257825,0.0005045339355313695
order,plane-stress,N-400,ball,direct,streaming_tsqr,1e-14,default,7,7,400,1604,841,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,4.562262571166244e-15,5.689626192662333e-16,0.0,0.0,1.4606823430973929e-07,2.7732211890014255e-08,0.1764912388367556,0.0,0.035192119255476564,7.314236392868128e-18,6.860043181778497e-10,8.743820576796825e-11,2.158704936246992e-08,5.1103091906079184e-09,0.6464180598995881,0.040681688268348,1620.8,7.284687135812126,2005.0,0.0,98630430456815.55,1214088999846.9902,3.7924940975652834e-08,6.846071849767398e-09,1.410054401120612e-07,2.7127543113555695e-08,3.709495231203992e-08,6.085975001597221e-09,1.3924748938049477e-07,2.7192311905025316e-08,1.0,0.0,5.345304754378333e-11,1.5842802866888234e-09,1.6623454170285034e-08,4.013320452297555e-09,1.3731912484580545e-08,3.3505751107783635e-09,2.2836308025822403,0.0,11.476061856285487,1.8724445165742407e-15,1.6607299626878738e-08,2.997889081731656e-09,1.2286918794780803e-08,2.363837303534385e-09,223.33253390790105,0.06594691886997392
order,plane-stress,N-600,ball,direct,streaming_tsqr,1e-14,default,7,7,600,2404,1225,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,5.57610302023142e-15,8.542543978423926e-16,0.0,0.0,4.423190431192621e-08,1.0609361385175964e-08,0.13381417105864707,2.925694557147251e-17,0.024301030201147145,3.657118196434064e-18,1.6245533677619113e-10,2.99379079158182e-11,7.522680191705183e-09,2.4456539317717854e-09,1.863500293502875,0.10665757060262446,2319.0,3.8297084310253524,3005.0,0.0,99237701639587.16,606051471870.8253,1.1525677105966672e-08,1.4354882063925176e-09,4.2583173600485324e-08,1.0767186551378421e-08,1.1440585740218694e-08,1.815850606308436e-09,4.188566102024395e-08,1.0608347462152791e-08,0.4,0.5163977794943223,1.574377253565906e-10,2.351983896307872e-10,5.67502188076743e-09,1.5796469972795536e-09,4.881808736441093e-09,2.0248819023095523e-09,2.2836308025822403,0.0,11.476061856285487,1.8724445165742407e-15,5.047084271649291e-09,6.285990733569207e-10,3.710608581040572e-09,9.382300902710094e-10,162.7427603728337,21.575948300283425
order,plane-stress,N-800,ball,direct,streaming_tsqr,1e-14,default,7,7,800,3204,1681,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,6.829929840834081e-15,8.470469962381815e-16,0.0,0.0,8.842253864151816e-09,1.0060093380718375e-09,0.11613758025047934,0.0,0.02273987924736201,0.0,5.6243824107311803e-11,9.200655274712365e-12,1.8484423791782005e-09,3.8254002343390614e-10,4.120046102795459,0.06652545477120911,3022.1,5.021066730398144,4005.0,0.0,99662942663622.69,360001934522.62616,4.2559464055989304e-09,6.456299770925354e-10,7.81662515201025e-09,8.745315631869131e-10,3.937060353463938e-09,6.353552959337355e-10,7.588344454150155e-09,8.54101028371726e-10,0.0,0.0,2.3908652835302746e-13,7.130173437900187e-11,1.3804038850705398e-09,2.489762944249361e-10,1.223749865353764e-09,3.154776223437282e-10,2.2836308025822403,0.0,11.476061856285487,1.8724445165742407e-15,1.8636753370056453e-09,2.8272082175563684e-10,6.811243482213412e-10,7.620484920163867e-11,41.25717293099872,1.6629850951917162
order,plane-stress,N-1000,ball,direct,streaming_tsqr,1e-14,default,7,7,1000,4004,2025,0.3333333333333333,10,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",2.0,0.0,12808.0,0.0,8.261831533781191e-15,1.1742692042501863e-15,0.0,0.0,2.336571201225681e-09,8.604454557862251e-11,0.10828699980290782,1.4628472785736255e-17,0.018031849056421297,0.0,6.472958638809695e-12,4.662351014768933e-13,3.999926719845325e-10,1.0145398004736251e-10,7.544837816203653,0.20615110674021583,3552.5,4.403281604540969,5005.0,0.0,99839150137906.48,121783939882.61053,5.784932496684202e-10,6.767645905244585e-11,2.1496049456866762e-09,7.417138199769881e-11,5.833901416091526e-10,8.271371596670624e-11,2.1098800120466223e-09,7.379592808275988e-11,0.0,0.0,8.806892715096381e-13,1.931218984417261e-11,2.7949211658626e-10,6.89016637697516e-11,2.8596249215127554e-10,7.523792784360555e-11,2.2836308025822403,0.0,11.476061856285487,1.8724445165742407e-15,2.5332170551136497e-10,2.963546426853236e-11,1.8731207382864782e-10,6.46313891703841e-12,24.556296140085703,0.4235446221959444
